TransactionID,Items,Basket_Size,Basket_Total
49,"['whole_milk', 'butter', 'dessert', 'rolls/buns']",4,22.91
50,"['frankfurter', 'soda', 'chewing_gum']",3,23.86
51,"['tropical_fruit', 'specialty_cheese', 'bottled_water']",3,24.42
52,"['beverages', 'soda']",2,20.87
53,"['whole_milk', 'pastry', 'long_life_bakery_product']",3,16.16
54,"['whole_milk', 'cream_cheese', 'cereals', 'dog_food']",4,34.97
55,"['whole_milk', 'salt']",2,15.899999999999999
56,"['dessert', 'ice_cream']",2,12.399999999999999
57,"['other_vegetables', 'ice_cream']",2,11.32
58,"['other_vegetables', 'bottled_water']",2,5.07
59,"['herbs', 'candy']",2,15.629999999999999
60,"['frankfurter', 'rolls/buns']",2,7.85
61,"['curd', 'rolls/buns']",2,11.76
62,"['whole_milk', 'bottled_water', 'newspapers']",3,11.979999999999999
63,"['rolls/buns', 'chewing_gum']",2,15.940000000000001
64,"['citrus_fruit', 'pastry']",2,17.81
65,"['rolls/buns', 'pastry', 'soda']",3,19.44
66,"['condensed_milk', 'sugar', 'coffee', 'shopping_bags']",4,29.03
67,"['whole_milk', 'beverages', 'uht-milk', 'soda']",4,41.51
68,"['beverages', 'specialty_bar']",2,13.0
69,"['bottled_water', 'fruit/vegetable_juice']",2,4.89
70,"['cleaner', 'female_sanitary_products']",2,15.89
71,"['misc._beverages', 'newspapers']",2,7.22
72,"['whole_milk', 'mustard', 'bottled_water']",3,23.45
73,"['meat', 'other_vegetables', 'butter', 'rolls/buns']",4,24.91
74,"['whole_milk', 'whipped/sour_cream', 'semi-finished_bread', 'margarine']",4,29.57
75,"['citrus_fruit', 'whole_milk', 'rolls/buns']",3,25.029999999999998
76,"['hard_cheese', 'rolls/buns', 'bottled_water', 'newspapers']",4,14.97
77,"['cream_cheese', 'rolls/buns', 'soda', 'chocolate']",4,33.870000000000005
78,"['whole_milk', 'beverages']",2,20.689999999999998
79,"['rolls/buns', 'soda']",2,13.420000000000002
80,"['pip_fruit', 'other_vegetables', 'fruit/vegetable_juice']",3,7.01
81,"['root_vegetables', 'other_vegetables', 'yogurt']",3,11.98
82,"['root_vegetables', 'whole_milk', 'pet_care', 'detergent']",4,25.77
83,"['pickled_vegetables', 'coffee']",2,8.49
84,"['turkey', 'pip_fruit', 'salad_dressing', 'pastry']",4,28.87
85,"['citrus_fruit', 'tropical_fruit']",2,26.189999999999998
86,"['citrus_fruit', 'sugar', 'sauces']",3,19.7
87,"['citrus_fruit', 'packaged_fruit/vegetables', 'yogurt', 'bottled_water']",4,32.12
88,"['uht-milk', 'coffee']",2,14.59
89,"['beef', 'citrus_fruit', 'other_vegetables', 'yogurt']",4,36.519999999999996
90,"['other_vegetables', 'yogurt', 'brown_bread', 'instant_coffee']",4,22.02
91,"['bottled_water', 'cake_bar']",2,12.2
92,"['tropical_fruit', 'soda', 'salty_snack']",3,26.8
93,"['grapes', 'root_vegetables']",2,4.0600000000000005
94,"['domestic_eggs', 'brown_bread', 'photo/film']",3,21.700000000000003
95,"['tropical_fruit', 'whole_milk']",2,23.189999999999998
96,"['margarine', 'hygiene_articles']",2,18.63
97,"['soda', 'specialty_chocolate']",2,14.25
98,"['frankfurter', 'rolls/buns']",2,7.85
99,"['salt', 'salty_snack', 'cookware']",3,25.07
100,"['other_vegetables', 'butter', 'specialty_chocolate']",3,13.870000000000001
101,"['frankfurter', 'whole_milk', 'butter_milk']",3,26.13
102,"['whole_milk', 'soda']",2,17.759999999999998
103,"['whole_milk', 'hygiene_articles']",2,17.32
104,"['citrus_fruit', 'whole_milk', 'curd', 'soft_cheese']",4,37.809999999999995
105,"['pastry', 'fruit/vegetable_juice']",2,8.549999999999999
106,"['other_vegetables', 'bottled_water']",2,5.07
107,"['berries', 'white_bread']",2,25.64
108,"['berries', 'coffee']",2,14.28
109,"['other_vegetables', 'butter_milk', 'frozen_meals', 'bottled_water']",4,30.83
110,"['rolls/buns', 'newspapers']",2,5.28
111,"['whole_milk', 'frozen_dessert', 'salty_snack', 'napkins']",4,27.05
112,"['tropical_fruit', 'butter_milk', 'rolls/buns', 'bottled_water']",4,35.15
113,"['butter_milk', 'yogurt']",2,21.31
114,"['hard_cheese', 'pastry', 'napkins']",3,16.27
115,"['onions', 'whole_milk', 'beverages', 'frozen_dessert']",4,35.44
116,"['yogurt', 'chocolate']",2,21.95
117,"['domestic_eggs', 'rolls/buns', 'dish_cleaner', 'hygiene_articles']",4,24.85
118,"['meat', 'other_vegetables', 'whole_milk', 'whipped/sour_cream']",4,30.99
119,"['dish_cleaner', 'bathroom_cleaner', 'hygiene_articles', 'napkins']",4,20.16
120,"['other_vegetables', 'whole_milk', 'rolls/buns', 'instant_food_products']",4,16.9
121,"['tropical_fruit', 'other_vegetables']",2,17.11
122,"['baking_powder', 'bottled_water', 'salty_snack', 'chewing_gum']",4,27.89
123,"['frankfurter', 'yogurt']",2,10.77
124,"['domestic_eggs', 'rolls/buns', 'specialty_bar', 'napkins']",4,13.5
125,"['other_vegetables', 'pet_care']",2,7.58
126,"['soda', 'chewing_gum']",2,20.46
127,"['root_vegetables', 'pastry', 'bottled_water', 'male_cosmetics']",4,15.04
128,"['berries', 'pet_care', 'cake_bar', 'shopping_bags']",4,39.17
129,"['whole_milk', 'oil', 'canned_fruit', 'fruit/vegetable_juice']",4,27.06
130,"['soda', 'misc._beverages']",2,15.36
131,"['bottled_water', 'soda']",2,11.33
132,"['tropical_fruit', 'other_vegetables', 'rolls/buns']",3,21.560000000000002
133,"['citrus_fruit', 'uht-milk', 'cream_cheese', 'frozen_vegetables']",4,38.26
134,"['dessert', 'oil', 'cat_food', 'soda']",4,32.46
135,"['coffee', 'hygiene_articles']",2,11.27
136,"['rolls/buns', 'brown_bread', 'bottled_water']",3,13.84
137,"['bottled_water', 'misc._beverages', 'cling_film/bags']",3,16.02
138,"['herbs', 'bottled_water']",2,11.059999999999999
139,"['yogurt', 'rolls/buns']",2,11.82
140,"['beef', 'root_vegetables']",2,16.55
141,"['whole_milk', 'honey', 'waffles']",3,27.939999999999998
142,"['other_vegetables', 'whole_milk', 'cream_cheese']",3,17.369999999999997
143,"['whole_milk', 'rolls/buns', 'newspapers']",3,14.069999999999999
144,"['frankfurter', 'margarine', 'dental_care']",3,20.9
145,"['other_vegetables', 'salty_snack']",2,6.140000000000001
146,"['bottled_water', 'shopping_bags']",2,15.28
147,"['other_vegetables', 'whipped/sour_cream', 'specialty_cheese', 'domestic_eggs']",4,23.02
148,"['whole_milk', 'cream_cheese', 'soda', 'fruit/vegetable_juice']",4,26.16
149,"['pastry', 'bottled_water']",2,8.379999999999999
150,"['frankfurter', 'soda']",2,12.370000000000001
151,"['dessert', 'candy']",2,10.719999999999999
152,"['other_vegetables', 'packaged_fruit/vegetables', 'uht-milk', 'bottled_water']",4,27.52
153,"['beverages', 'rolls/buns', 'soda']",3,25.32
154,"['brown_bread', 'soda', 'salty_snack', 'shopping_bags']",4,32.35
155,"['whole_milk', 'cream_cheese', 'coffee']",3,17.4
156,"['citrus_fruit', 'other_vegetables', 'soda']",3,23.47
157,"['other_vegetables', 'shopping_bags']",2,15.629999999999999
158,"['whole_milk', 'dessert', 'bottled_water']",3,14.94
159,"['soda', 'misc._beverages']",2,15.36
160,"['whole_milk', 'curd']",2,16.099999999999998
161,"['white_bread', 'brown_bread']",2,21.13
162,"['brown_bread', 'sugar', 'hygiene_articles']",3,18.53
163,"['coffee', 'detergent', 'hygiene_articles', 'photo/film']",4,31.12
164,"['other_vegetables', 'yogurt']",2,10.08
165,"['yogurt', 'bottled_water', 'dishes']",3,22.3
166,"['bottled_water', 'candy']",2,9.29
167,"['packaged_fruit/vegetables', 'seasonal_products']",2,19.5
168,"['other_vegetables', 'margarine']",2,12.809999999999999
169,"['herbs', 'yogurt']",2,16.07
170,"['citrus_fruit', 'spread_cheese', 'rolls/buns', 'soda']",4,34.23
171,"['soda', 'female_sanitary_products']",2,21.54
172,"['white_bread', 'bottled_water', 'soda', 'waffles']",4,32.99
173,"['coffee', 'chewing_gum', 'chocolate_marshmallow']",3,27.68
174,"['citrus_fruit', 'bottled_water']",2,14.149999999999999
175,"['frankfurter', 'rolls/buns']",2,7.85
176,"['yogurt', 'fruit/vegetable_juice', 'newspapers']",3,10.73
177,"['root_vegetables', 'other_vegetables']",2,4.609999999999999
178,"['onions', 'fruit/vegetable_juice']",2,5.369999999999999
179,"['rolls/buns', 'soda', 'snack_products', 'newspapers']",4,21.02
180,"['butter', 'fruit/vegetable_juice', 'newspapers']",3,9.24
181,"['fruit/vegetable_juice', 'long_life_bakery_product']",2,3.88
182,"['pip_fruit', 'whole_milk', 'bottled_water', 'candy']",4,19.849999999999998
183,"['cling_film/bags', 'pot_plants']",2,21.72
184,"['chicken', 'pastry']",2,11.66
185,"['whipped/sour_cream', 'pastry', 'specialty_bar']",3,14.74
186,"['root_vegetables', 'brown_bread']",2,8.93
187,"['rolls/buns', 'soda']",2,13.420000000000002
188,"['coffee', 'long_life_bakery_product']",2,4.09
189,"['pip_fruit', 'whole_milk', 'canned_fish']",3,14.35
190,"['rolls/buns', 'spices']",2,6.45
191,"['beverages', 'pastry', 'bottled_water']",3,20.28
192,"['beef', 'citrus_fruit', 'other_vegetables', 'rolls/buns']",4,33.6
193,"['root_vegetables', 'whole_milk', 'detergent']",3,20.9
194,"['yogurt', 'bottled_water']",2,9.73
195,"['frankfurter', 'root_vegetables', 'newspapers']",3,6.13
196,"['tropical_fruit', 'domestic_eggs', 'rolls/buns', 'pastry']",4,29.9
197,"['coffee', 'soda']",2,11.71
198,"['tropical_fruit', 'other_vegetables']",2,17.11
199,"['meat', 'other_vegetables']",2,14.579999999999998
200,"['rolls/buns', 'pastry', 'newspapers']",3,11.299999999999999
201,"['whole_milk', 'rolls/buns', 'detergent']",3,23.45
202,"['whole_milk', 'domestic_eggs', 'rolls/buns', 'soda']",4,27.240000000000002
203,"['whole_milk', 'hard_cheese', 'chocolate_marshmallow']",3,29.57
204,"['curd', 'butter_milk', 'yogurt', 'beverages']",4,40.519999999999996
205,"['chicken', 'butter', 'newspapers']",3,12.35
206,"['yogurt', 'pastry', 'coffee']",3,16.13
207,"['pastry', 'coffee']",2,8.76
208,"['chicken', 'beef', 'specialty_chocolate']",3,25.57
209,"['whole_milk', 'frozen_meals', 'rolls/buns']",3,25.06
210,"['rolls/buns', 'canned_fish']",2,8.24
211,"['curd', 'uht-milk', 'artif._sweetener', 'dental_care']",4,33.42
212,"['beef', 'berries', 'onions', 'rolls/buns']",4,33.48
213,"['yogurt', 'hygiene_articles', 'newspapers', 'shopping_bags']",4,29.65
214,"['bottled_water', 'candy']",2,9.29
215,"['frankfurter', 'beef', 'butter']",3,23.93
216,"['rolls/buns', 'soda', 'snack_products', 'shopping_bags']",4,33.11
217,"['whole_milk', 'pastry', 'bottled_water', 'hygiene_articles']",4,25.7
218,"['rolls/buns', 'newspapers']",2,5.28
219,"['yogurt', 'specialty_bar']",2,8.47
220,"['whipped/sour_cream', 'specialty_bar']",2,8.72
221,"['beverages', 'rolls/buns']",2,16.35
222,"['rolls/buns', 'shopping_bags']",2,17.37
223,"['bottled_water', 'soda']",2,11.33
224,"['spread_cheese', 'rolls/buns', 'bottled_water', 'newspapers']",4,16.66
225,"['tropical_fruit', 'spread_cheese', 'rolls/buns', 'soda']",4,36.84
226,"['chicken', 'onions', 'herbs', 'hygiene_articles']",4,25.709999999999997
227,"['beef', 'tropical_fruit', 'root_vegetables', 'yogurt']",4,38.32
228,"['frankfurter', 'rolls/buns', 'mustard']",3,20.150000000000002
229,"['grapes', 'soda']",2,11.13
230,"['beverages', 'rolls/buns']",2,16.35
231,"['ice_cream', 'sugar', 'flower_(seeds)']",3,21.98
232,"['dessert', 'beverages', 'bottled_water']",3,18.05
233,"['berries', 'other_vegetables', 'whole_milk', 'whipped/sour_cream']",4,30.659999999999997
234,"['vinegar', 'oil']",2,8.9
235,"['rolls/buns', 'soda', 'specialty_bar']",3,14.520000000000001
236,"['rolls/buns', 'newspapers']",2,5.28
237,"['onions', 'other_vegetables', 'flour']",3,10.23
238,"['tropical_fruit', 'whole_milk', 'rolls/buns']",3,27.64
239,"['meat', 'rolls/buns', 'soda', 'specialty_bar']",4,26.39
240,"['whole_milk', 'dessert']",2,12.579999999999998
241,"['pet_care', 'bottled_water']",2,7.23
242,"['root_vegetables', 'other_vegetables', 'soda', 'shopping_bags']",4,26.5
243,"['frozen_dessert', 'semi-finished_bread']",2,14.97
244,"['root_vegetables', 'whole_milk', 'yogurt', 'rolls/buns']",4,22.509999999999998
245,"['root_vegetables', 'whole_milk', 'butter', 'coffee']",4,19.31
246,"['soda', 'newspapers']",2,9.8
247,"['whole_milk', 'chewing_gum']",2,20.28
248,"['root_vegetables', 'pot_plants']",2,16.349999999999998
249,"['cream_cheese', 'spread_cheese', 'rolls/buns']",3,19.34
250,"['citrus_fruit', 'tropical_fruit', 'pip_fruit']",3,27.96
251,"['citrus_fruit', 'whole_milk']",2,20.58
252,"['whole_milk', 'yogurt']",2,16.16
253,"['berries', 'whole_milk', 'whipped/sour_cream', 'domestic_eggs']",4,32.98
254,"['packaged_fruit/vegetables', 'whole_milk', 'rolls/buns', 'pastry']",4,29.86
255,"['frankfurter', 'soda']",2,12.370000000000001
256,"['other_vegetables', 'whipped/sour_cream']",2,10.33
257,"['beef', 'other_vegetables']",2,17.36
258,"['frozen_meals', 'misc._beverages']",2,18.21
259,"['packaged_fruit/vegetables', 'pickled_vegetables']",2,16.35
260,"['berries', 'frozen_vegetables', 'pet_care', 'instant_coffee']",4,30.07
261,"['bottled_water', 'soda', 'chewing_gum', 'napkins']",4,25.740000000000002
262,"['ice_cream', 'rolls/buns']",2,13.059999999999999
263,"['frankfurter', 'citrus_fruit', 'tropical_fruit', 'rolls/buns']",4,34.04
264,"['beef', 'root_vegetables', 'whole_milk', 'cream_cheese']",4,31.21
265,"['sugar', 'hygiene_articles']",2,11.5
266,"['berries', 'whipped/sour_cream']",2,19.16
267,"['yogurt', 'beverages', 'coffee']",3,22.01
268,"['potato_products', 'flower_(seeds)']",2,24.07
269,"['chicken', 'other_vegetables', 'salt']",3,15.46
270,"['fish', 'cream_cheese', 'coffee']",3,14.73
271,"['other_vegetables', 'misc._beverages']",2,9.1
272,"['tropical_fruit', 'whole_milk']",2,23.189999999999998
273,"['whole_milk', 'cake_bar', 'newspapers']",3,19.459999999999997
274,"['whole_milk', 'rolls/buns', 'chocolate']",3,27.82
275,"['rolls/buns', 'soda']",2,13.420000000000002
276,"['citrus_fruit', 'tropical_fruit', 'pip_fruit', 'other_vegetables']",4,30.669999999999998
277,"['sliced_cheese', 'pastry', 'newspapers']",3,17.779999999999998
278,"['root_vegetables', 'whipped/sour_cream']",2,9.52
279,"['packaged_fruit/vegetables', 'pot_plants']",2,25.049999999999997
280,"['whole_milk', 'cream_cheese']",2,14.66
281,"['soda', 'shopping_bags']",2,21.89
282,"['frankfurter', 'popcorn']",2,5.609999999999999
283,"['frankfurter', 'rolls/buns']",2,7.85
284,"['frozen_fish', 'newspapers']",2,10.97
285,"['tropical_fruit', 'newspapers']",2,15.23
286,"['specialty_chocolate', 'pot_plants']",2,19.73
287,"['citrus_fruit', 'napkins', 'shopping_bags']",3,27.63
288,"['whole_milk', 'pastry', 'detergent', 'candles']",4,37.45
289,"['other_vegetables', 'whole_milk', 'white_bread', 'chewing_gum']",4,37.089999999999996
290,"['whole_milk', 'rolls/buns', 'shopping_bags']",3,26.16
291,"['other_vegetables', 'chewing_gum']",2,14.2
292,"['whole_milk', 'whipped/sour_cream', 'baking_powder']",3,27.02
293,"['rolls/buns', 'coffee']",2,7.19
294,"['ice_cream', 'newspapers']",2,9.44
295,"['whole_milk', 'frozen_meals', 'newspapers']",3,21.439999999999998
296,"['salt', 'dog_food', 'long_life_bakery_product']",3,19.11
297,"['other_vegetables', 'whole_milk', 'yogurt']",3,18.869999999999997
298,"['tropical_fruit', 'oil', 'cat_food']",3,34.1
299,"['other_vegetables', 'butter_milk', 'frozen_fish', 'salty_snack']",4,30.22
300,"['artif._sweetener', 'soda', 'photo/film']",3,25.470000000000002
301,"['frankfurter', 'whole_milk', 'coffee', 'detergent']",4,25.14
302,"['whole_milk', 'newspapers']",2,9.62
303,"['domestic_eggs', 'hygiene_articles', 'photo/film', 'flower_soil/fertilizer']",4,25.73
304,"['cream_cheese', 'margarine', 'tea']",3,21.5
305,"['citrus_fruit', 'onions']",2,14.629999999999999
306,"['other_vegetables', 'whipped/sour_cream', 'roll_products']",3,17.35
307,"['onions', 'domestic_eggs', 'soda', 'hygiene_articles']",4,25.37
308,"['rolls/buns', 'long_life_bakery_product']",2,5.800000000000001
309,"['ice_cream', 'long_life_bakery_product']",2,9.959999999999999
310,"['coffee', 'fruit/vegetable_juice', 'dishes']",3,17.84
311,"['whole_milk', 'butter', 'pasta', 'misc._beverages']",4,28.029999999999998
312,"['citrus_fruit', 'berries', 'butter_milk', 'yogurt']",4,44.64
313,"['margarine', 'newspapers']",2,10.93
314,"['butter_milk', 'yogurt']",2,21.31
315,"['whole_milk', 'rice']",2,19.68
316,"['whole_milk', 'white_bread']",2,22.89
317,"['grapes', 'zwieback', 'soda', 'waffles']",4,23.060000000000002
318,"['uht-milk', 'bottled_water']",2,14.209999999999999
319,"['yogurt', 'margarine']",2,17.47
320,"['frankfurter', 'other_vegetables', 'specialty_cheese', 'chewing_gum']",4,25.26
321,"['whole_milk', 'pastry']",2,14.809999999999999
322,"['dessert', 'bottled_water', 'soda']",3,15.120000000000001
323,"['butter', 'rolls/buns', 'salt']",3,17.44
324,"['soda', 'misc._beverages']",2,15.36
325,"['whole_milk', 'frozen_vegetables']",2,17.54
326,"['bottled_water', 'soda']",2,11.33
327,"['bottled_water', 'soda', 'chewing_gum']",3,22.82
328,"['frankfurter', 'turkey', 'citrus_fruit']",3,22.68
329,"['ice_cream', 'coffee', 'waffles']",3,18.91
330,"['uht-milk', 'vinegar', 'waffles', 'chocolate']",4,35.69
331,"['popcorn', 'candy']",2,9.14
332,"['soda', 'candy']",2,15.9
333,"['uht-milk', 'instant_coffee']",2,16.759999999999998
334,"['whole_milk', 'soda', 'misc._beverages', 'shopping_bags']",4,37.07
335,"['cat_food', 'dish_cleaner', 'shopping_bags']",3,32.26
336,"['root_vegetables', 'skin_care']",2,13.4
337,"['finished_products', 'other_vegetables', 'soda', 'fruit/vegetable_juice']",4,26.38
338,"['other_vegetables', 'yogurt', 'oil', 'dental_care']",4,24.68
339,"['other_vegetables', 'nut_snack']",2,4.52
340,"['yogurt', 'newspapers']",2,8.2
341,"['other_vegetables', 'sugar']",2,5.68
342,"['dessert', 'white_bread']",2,17.89
343,"['citrus_fruit', 'tropical_fruit', 'pip_fruit', 'long_life_bakery_product']",4,29.31
344,"['turkey', 'whole_milk', 'uht-milk', 'fruit/vegetable_juice']",4,30.66
345,"['grapes', 'chocolate', 'light_bulbs']",3,29.61
346,"['bottled_water', 'pot_plants']",2,16.81
347,"['prosecco', 'hygiene_articles', 'pot_plants']",3,27.34
348,"['uht-milk', 'soda', 'dish_cleaner', 'napkins']",4,30.58
349,"['tropical_fruit', 'pasta', 'bottled_water']",3,23.73
350,"['yogurt', 'uht-milk', 'rolls/buns']",3,23.67
351,"['rolls/buns', 'coffee']",2,7.19
352,"['whole_milk', 'brown_bread']",2,15.82
353,"['brown_bread', 'chocolate']",2,21.61
354,"['other_vegetables', 'yogurt', 'cream_cheese']",3,15.95
355,"['citrus_fruit', 'cake_bar', 'baby_cosmetics', 'shopping_bags']",4,47.5
356,"['root_vegetables', 'whole_milk', 'yogurt', 'frozen_potato_products']",4,25.21
357,"['domestic_eggs', 'seasonal_products', 'shopping_bags']",3,26.85
358,"['domestic_eggs', 'specialty_bar', 'seasonal_products', 'shopping_bags']",4,27.95
359,"['bottled_water', 'soda']",2,11.33
360,"['tropical_fruit', 'sliced_cheese', 'domestic_eggs', 'zwieback']",4,34.730000000000004
361,"['frozen_potato_products', 'pot_plants']",2,21.6
362,"['frankfurter', 'other_vegetables', 'zwieback']",3,10.48
363,"['frozen_potato_products', 'bottled_water', 'soda']",3,18.48
364,"['tropical_fruit', 'dessert', 'sweet_spreads', 'fruit/vegetable_juice']",4,34.63
365,"['rolls/buns', 'brown_bread']",2,11.48
366,"['citrus_fruit', 'tropical_fruit', 'whole_milk', 'coffee']",4,37.72
367,"['yogurt', 'softener']",2,9.09
368,"['soda', 'softener']",2,10.690000000000001
369,"['oil', 'dental_care', 'newspapers']",3,15.43
370,"['whipped/sour_cream', 'beverages', 'fruit/vegetable_juice', 'chocolate']",4,36.63
371,"['whole_milk', 'frozen_vegetables', 'specialty_chocolate']",3,22.82
372,"['coffee', 'shopping_bags']",2,15.66
373,"['rolls/buns', 'waffles']",2,12.01
374,"['citrus_fruit', 'yogurt', 'brown_bread', 'pasta']",4,33.16
375,"['cream_cheese', 'rolls/buns']",2,10.32
376,"['chicken', 'whipped/sour_cream', 'coffee', 'shopping_bags']",4,28.92
377,"['grapes', 'root_vegetables']",2,4.0600000000000005
378,"['root_vegetables', 'other_vegetables', 'yogurt']",3,11.98
379,"['oil', 'dish_cleaner', 'newspapers']",3,14.87
380,"['onions', 'vinegar', 'pet_care', 'specialty_bar']",4,10.51
381,"['dessert', 'dishes']",2,16.36
382,"['chewing_gum', 'napkins', 'dishes']",3,26.98
383,"['beverages', 'pastry', 'long_life_bakery_product', 'chocolate_marshmallow']",4,32.72
384,"['cat_food', 'soda']",2,21.47
385,"['whole_milk', 'beverages', 'pastry', 'soda']",4,35.68
386,"['soda', 'fruit/vegetable_juice']",2,11.5
387,"['beverages', 'bottled_water', 'misc._beverages']",3,20.65
388,"['whole_milk', 'yogurt', 'chocolate']",3,30.74
389,"['whole_milk', 'brown_bread']",2,15.82
390,"['citrus_fruit', 'frozen_potato_products']",2,18.939999999999998
391,"['ice_cream', 'salty_snack', 'waffles']",3,19.599999999999998
392,"['root_vegetables', 'fruit/vegetable_juice', 'long_life_bakery_product', 'pot_plants']",4,20.23
393,"['other_vegetables', 'chocolate']",2,17.29
394,"['whole_milk', 'white_bread', 'pastry']",3,28.909999999999997
395,"['zwieback', 'oil', 'mustard', 'chocolate']",4,38.45
396,"['butter', 'yogurt', 'dog_food']",3,23.9
397,"['chicken', 'tropical_fruit', 'candy', 'shopping_bags']",4,39.89
398,"['other_vegetables', 'cream_cheese', 'coffee', 'dishes']",4,23.89
399,"['chicken', 'whole_milk']",2,14.43
400,"['yogurt', 'chocolate']",2,21.95
401,"['frozen_meals', 'pet_care', 'soda']",3,25.66
402,"['canned_fruit', 'meat_spreads', 'bottled_water']",3,21.03
403,"['butter', 'waffles', 'chocolate']",3,28.02
404,"['meat', 'yogurt']",2,19.24
405,"['root_vegetables', 'butter', 'frozen_vegetables', 'salty_snack']",4,19.96
406,"['yogurt', 'sugar', 'instant_coffee']",3,15.25
407,"['yogurt', 'rolls/buns', 'pastry', 'soda']",4,26.810000000000002
408,"['dessert', 'misc._beverages']",2,10.18
409,"['curd', 'jam', 'shopping_bags']",3,27.06
410,"['herbs', 'pot_plants']",2,23.15
411,"['whole_milk', 'sugar', 'pudding_powder']",3,26.31
412,"['cream_cheese', 'dishes']",2,18.44
413,"['frozen_fruits', 'detergent']",2,20.93
414,"['whole_milk', 'soda']",2,17.759999999999998
415,"['whole_milk', 'yogurt']",2,16.16
416,"['chicken', 'whole_milk']",2,14.43
417,"['whole_milk', 'shopping_bags']",2,21.71
418,"['root_vegetables', 'coffee', 'detergent']",3,14.850000000000001
419,"['oil', 'female_sanitary_products', 'cling_film/bags']",3,27.04
420,"['uht-milk', 'coffee']",2,14.59
421,"['butter_milk', 'shopping_bags']",2,26.86
422,"['brown_bread', 'specialty_chocolate', 'shopping_bags']",3,25.23
423,"['beverages', 'soda', 'chocolate']",3,35.45
424,"['rolls/buns', 'bottled_water']",2,6.8100000000000005
425,"['hard_cheese', 'rolls/buns', 'soda', 'shopping_bags']",4,33.67
426,"['tropical_fruit', 'frozen_vegetables']",2,23.15
427,"['whipped/sour_cream', 'salty_snack']",2,11.05
428,"['citrus_fruit', 'whole_milk', 'butter_milk', 'whipped/sour_cream']",4,42.14
429,"['soda', 'fruit/vegetable_juice']",2,11.5
430,"['tropical_fruit', 'whole_milk']",2,23.189999999999998
431,"['dessert', 'fruit/vegetable_juice', 'newspapers']",3,7.1499999999999995
432,"['whole_milk', 'rolls/buns']",2,13.239999999999998
433,"['rolls/buns', 'soda']",2,13.420000000000002
434,"['fish', 'dessert', 'yogurt', 'cling_film/bags']",4,24.55
435,"['other_vegetables', 'oil', 'margarine', 'dishes']",4,32.58
