TransactionID,Items,Basket_Size
119,"['dish_cleaner', 'bathroom_cleaner', 'hygiene_articles', 'napkins']",4
120,"['other_vegetables', 'whole_milk', 'rolls/buns', 'instant_food_products']",4
121,"['tropical_fruit', 'other_vegetables']",2
122,"['baking_powder', 'bottled_water', 'salty_snack', 'chewing_gum']",4
123,"['frankfurter', 'yogurt']",2
124,"['domestic_eggs', 'rolls/buns', 'specialty_bar', 'napkins']",4
125,"['other_vegetables', 'pet_care']",2
126,"['soda', 'chewing_gum']",2
127,"['root_vegetables', 'pastry', 'bottled_water', 'male_cosmetics']",4
128,"['berries', 'pet_care', 'cake_bar', 'shopping_bags']",4
129,"['whole_milk', 'oil', 'canned_fruit', 'fruit/vegetable_juice']",4
130,"['soda', 'misc._beverages']",2
131,"['bottled_water', 'soda']",2
132,"['tropical_fruit', 'other_vegetables', 'rolls/buns']",3
133,"['citrus_fruit', 'uht-milk', 'cream_cheese', 'frozen_vegetables']",4
134,"['dessert', 'oil', 'cat_food', 'soda']",4
135,"['coffee', 'hygiene_articles']",2
136,"['rolls/buns', 'brown_bread', 'bottled_water']",3
137,"['bottled_water', 'misc._beverages', 'cling_film/bags']",3
138,"['herbs', 'bottled_water']",2
139,"['yogurt', 'rolls/buns']",2
140,"['beef', 'root_vegetables']",2
141,"['whole_milk', 'honey', 'waffles']",3
142,"['other_vegetables', 'whole_milk', 'cream_cheese']",3
143,"['whole_milk', 'rolls/buns', 'newspapers']",3
144,"['frankfurter', 'margarine', 'dental_care']",3
145,"['other_vegetables', 'salty_snack']",2
146,"['bottled_water', 'shopping_bags']",2
147,"['other_vegetables', 'whipped/sour_cream', 'specialty_cheese', 'domestic_eggs']",4
148,"['whole_milk', 'cream_cheese', 'soda', 'fruit/vegetable_juice']",4
149,"['pastry', 'bottled_water']",2
150,"['frankfurter', 'soda']",2
151,"['dessert', 'candy']",2
152,"['other_vegetables', 'packaged_fruit/vegetables', 'uht-milk', 'bottled_water']",4
153,"['beverages', 'rolls/buns', 'soda']",3
154,"['brown_bread', 'soda', 'salty_snack', 'shopping_bags']",4
155,"['whole_milk', 'cream_cheese', 'coffee']",3
156,"['citrus_fruit', 'other_vegetables', 'soda']",3
157,"['other_vegetables', 'shopping_bags']",2
158,"['whole_milk', 'dessert', 'bottled_water']",3
159,"['soda', 'misc._beverages']",2
160,"['whole_milk', 'curd']",2
161,"['white_bread', 'brown_bread']",2
162,"['brown_bread', 'sugar', 'hygiene_articles']",3
163,"['coffee', 'detergent', 'hygiene_articles', 'photo/film']",4
164,"['other_vegetables', 'yogurt']",2
165,"['yogurt', 'bottled_water', 'dishes']",3
166,"['bottled_water', 'candy']",2
167,"['packaged_fruit/vegetables', 'seasonal_products']",2
168,"['other_vegetables', 'margarine']",2
169,"['herbs', 'yogurt']",2
170,"['citrus_fruit', 'spread_cheese', 'rolls/buns', 'soda']",4
171,"['soda', 'female_sanitary_products']",2
172,"['white_bread', 'bottled_water', 'soda', 'waffles']",4
173,"['coffee', 'chewing_gum', 'chocolate_marshmallow']",3
174,"['citrus_fruit', 'bottled_water']",2
175,"['frankfurter', 'rolls/buns']",2
176,"['yogurt', 'fruit/vegetable_juice', 'newspapers']",3
177,"['root_vegetables', 'other_vegetables']",2
178,"['onions', 'fruit/vegetable_juice']",2
179,"['rolls/buns', 'soda', 'snack_products', 'newspapers']",4
180,"['butter', 'fruit/vegetable_juice', 'newspapers']",3
181,"['fruit/vegetable_juice', 'long_life_bakery_product']",2
182,"['pip_fruit', 'whole_milk', 'bottled_water', 'candy']",4
183,"['cling_film/bags', 'pot_plants']",2
184,"['chicken', 'pastry']",2
185,"['whipped/sour_cream', 'pastry', 'specialty_bar']",3
186,"['root_vegetables', 'brown_bread']",2
187,"['rolls/buns', 'soda']",2
188,"['coffee', 'long_life_bakery_product']",2
189,"['pip_fruit', 'whole_milk', 'canned_fish']",3
190,"['rolls/buns', 'spices']",2
191,"['beverages', 'pastry', 'bottled_water']",3
192,"['beef', 'citrus_fruit', 'other_vegetables', 'rolls/buns']",4
193,"['root_vegetables', 'whole_milk', 'detergent']",3
194,"['yogurt', 'bottled_water']",2
195,"['frankfurter', 'root_vegetables', 'newspapers']",3
196,"['tropical_fruit', 'domestic_eggs', 'rolls/buns', 'pastry']",4
197,"['coffee', 'soda']",2
198,"['tropical_fruit', 'other_vegetables']",2
199,"['meat', 'other_vegetables']",2
200,"['rolls/buns', 'pastry', 'newspapers']",3
201,"['whole_milk', 'rolls/buns', 'detergent']",3
202,"['whole_milk', 'domestic_eggs', 'rolls/buns', 'soda']",4
203,"['whole_milk', 'hard_cheese', 'chocolate_marshmallow']",3
204,"['curd', 'butter_milk', 'yogurt', 'beverages']",4
205,"['chicken', 'butter', 'newspapers']",3
206,"['yogurt', 'pastry', 'coffee']",3
207,"['pastry', 'coffee']",2
208,"['chicken', 'beef', 'specialty_chocolate']",3
209,"['whole_milk', 'frozen_meals', 'rolls/buns']",3
210,"['rolls/buns', 'canned_fish']",2
211,"['curd', 'uht-milk', 'artif._sweetener', 'dental_care']",4
212,"['beef', 'berries', 'onions', 'rolls/buns']",4
213,"['yogurt', 'hygiene_articles', 'newspapers', 'shopping_bags']",4
214,"['bottled_water', 'candy']",2
215,"['frankfurter', 'beef', 'butter']",3
216,"['rolls/buns', 'soda', 'snack_products', 'shopping_bags']",4
217,"['whole_milk', 'pastry', 'bottled_water', 'hygiene_articles']",4
218,"['rolls/buns', 'newspapers']",2
219,"['yogurt', 'specialty_bar']",2
220,"['whipped/sour_cream', 'specialty_bar']",2
221,"['beverages', 'rolls/buns']",2
222,"['rolls/buns', 'shopping_bags']",2
223,"['bottled_water', 'soda']",2
224,"['spread_cheese', 'rolls/buns', 'bottled_water', 'newspapers']",4
225,"['tropical_fruit', 'spread_cheese', 'rolls/buns', 'soda']",4
226,"['chicken', 'onions', 'herbs', 'hygiene_articles']",4
227,"['beef', 'tropical_fruit', 'root_vegetables', 'yogurt']",4
228,"['frankfurter', 'rolls/buns', 'mustard']",3
229,"['grapes', 'soda']",2
230,"['beverages', 'rolls/buns']",2
231,"['ice_cream', 'sugar', 'flower_(seeds)']",3
232,"['dessert', 'beverages', 'bottled_water']",3
233,"['berries', 'other_vegetables', 'whole_milk', 'whipped/sour_cream']",4
234,"['vinegar', 'oil']",2
235,"['rolls/buns', 'soda', 'specialty_bar']",3
236,"['rolls/buns', 'newspapers']",2
237,"['onions', 'other_vegetables', 'flour']",3
238,"['tropical_fruit', 'whole_milk', 'rolls/buns']",3
239,"['meat', 'rolls/buns', 'soda', 'specialty_bar']",4
240,"['whole_milk', 'dessert']",2
241,"['pet_care', 'bottled_water']",2
242,"['root_vegetables', 'other_vegetables', 'soda', 'shopping_bags']",4
243,"['frozen_dessert', 'semi-finished_bread']",2
244,"['root_vegetables', 'whole_milk', 'yogurt', 'rolls/buns']",4
245,"['root_vegetables', 'whole_milk', 'butter', 'coffee']",4
246,"['soda', 'newspapers']",2
247,"['whole_milk', 'chewing_gum']",2
248,"['root_vegetables', 'pot_plants']",2
249,"['cream_cheese', 'spread_cheese', 'rolls/buns']",3
250,"['citrus_fruit', 'tropical_fruit', 'pip_fruit']",3
251,"['citrus_fruit', 'whole_milk']",2
252,"['whole_milk', 'yogurt']",2
253,"['berries', 'whole_milk', 'whipped/sour_cream', 'domestic_eggs']",4
254,"['packaged_fruit/vegetables', 'whole_milk', 'rolls/buns', 'pastry']",4
255,"['frankfurter', 'soda']",2
256,"['other_vegetables', 'whipped/sour_cream']",2
257,"['beef', 'other_vegetables']",2
258,"['frozen_meals', 'misc._beverages']",2
259,"['packaged_fruit/vegetables', 'pickled_vegetables']",2
260,"['berries', 'frozen_vegetables', 'pet_care', 'instant_coffee']",4
261,"['bottled_water', 'soda', 'chewing_gum', 'napkins']",4
262,"['ice_cream', 'rolls/buns']",2
263,"['frankfurter', 'citrus_fruit', 'tropical_fruit', 'rolls/buns']",4
264,"['beef', 'root_vegetables', 'whole_milk', 'cream_cheese']",4
265,"['sugar', 'hygiene_articles']",2
266,"['berries', 'whipped/sour_cream']",2
267,"['yogurt', 'beverages', 'coffee']",3
268,"['potato_products', 'flower_(seeds)']",2
269,"['chicken', 'other_vegetables', 'salt']",3
270,"['fish', 'cream_cheese', 'coffee']",3
271,"['other_vegetables', 'misc._beverages']",2
272,"['tropical_fruit', 'whole_milk']",2
273,"['whole_milk', 'cake_bar', 'newspapers']",3
274,"['whole_milk', 'rolls/buns', 'chocolate']",3
275,"['rolls/buns', 'soda']",2
276,"['citrus_fruit', 'tropical_fruit', 'pip_fruit', 'other_vegetables']",4
277,"['sliced_cheese', 'pastry', 'newspapers']",3
278,"['root_vegetables', 'whipped/sour_cream']",2
279,"['packaged_fruit/vegetables', 'pot_plants']",2
280,"['whole_milk', 'cream_cheese']",2
281,"['soda', 'shopping_bags']",2
282,"['frankfurter', 'popcorn']",2
283,"['frankfurter', 'rolls/buns']",2
284,"['frozen_fish', 'newspapers']",2
285,"['tropical_fruit', 'newspapers']",2
286,"['specialty_chocolate', 'pot_plants']",2
287,"['citrus_fruit', 'napkins', 'shopping_bags']",3
288,"['whole_milk', 'pastry', 'detergent', 'candles']",4
289,"['other_vegetables', 'whole_milk', 'white_bread', 'chewing_gum']",4
290,"['whole_milk', 'rolls/buns', 'shopping_bags']",3
291,"['other_vegetables', 'chewing_gum']",2
292,"['whole_milk', 'whipped/sour_cream', 'baking_powder']",3
293,"['rolls/buns', 'coffee']",2
294,"['ice_cream', 'newspapers']",2
295,"['whole_milk', 'frozen_meals', 'newspapers']",3
296,"['salt', 'dog_food', 'long_life_bakery_product']",3
297,"['other_vegetables', 'whole_milk', 'yogurt']",3
298,"['tropical_fruit', 'oil', 'cat_food']",3
299,"['other_vegetables', 'butter_milk', 'frozen_fish', 'salty_snack']",4
300,"['artif._sweetener', 'soda', 'photo/film']",3
301,"['frankfurter', 'whole_milk', 'coffee', 'detergent']",4
302,"['whole_milk', 'newspapers']",2
303,"['domestic_eggs', 'hygiene_articles', 'photo/film', 'flower_soil/fertilizer']",4
304,"['cream_cheese', 'margarine', 'tea']",3
305,"['citrus_fruit', 'onions']",2
306,"['other_vegetables', 'whipped/sour_cream', 'roll_products']",3
307,"['onions', 'domestic_eggs', 'soda', 'hygiene_articles']",4
308,"['rolls/buns', 'long_life_bakery_product']",2
309,"['ice_cream', 'long_life_bakery_product']",2
310,"['coffee', 'fruit/vegetable_juice', 'dishes']",3
311,"['whole_milk', 'butter', 'pasta', 'misc._beverages']",4
312,"['citrus_fruit', 'berries', 'butter_milk', 'yogurt']",4
313,"['margarine', 'newspapers']",2
314,"['butter_milk', 'yogurt']",2
315,"['whole_milk', 'rice']",2
316,"['whole_milk', 'white_bread']",2
317,"['grapes', 'zwieback', 'soda', 'waffles']",4
318,"['uht-milk', 'bottled_water']",2
319,"['yogurt', 'margarine']",2
320,"['frankfurter', 'other_vegetables', 'specialty_cheese', 'chewing_gum']",4
321,"['whole_milk', 'pastry']",2
322,"['dessert', 'bottled_water', 'soda']",3
323,"['butter', 'rolls/buns', 'salt']",3
324,"['soda', 'misc._beverages']",2
325,"['whole_milk', 'frozen_vegetables']",2
326,"['bottled_water', 'soda']",2
327,"['bottled_water', 'soda', 'chewing_gum']",3
328,"['frankfurter', 'turkey', 'citrus_fruit']",3
329,"['ice_cream', 'coffee', 'waffles']",3
330,"['uht-milk', 'vinegar', 'waffles', 'chocolate']",4
331,"['popcorn', 'candy']",2
332,"['soda', 'candy']",2
333,"['uht-milk', 'instant_coffee']",2
334,"['whole_milk', 'soda', 'misc._beverages', 'shopping_bags']",4
335,"['cat_food', 'dish_cleaner', 'shopping_bags']",3
336,"['root_vegetables', 'skin_care']",2
337,"['finished_products', 'other_vegetables', 'soda', 'fruit/vegetable_juice']",4
338,"['other_vegetables', 'yogurt', 'oil', 'dental_care']",4
339,"['other_vegetables', 'nut_snack']",2
340,"['yogurt', 'newspapers']",2
341,"['other_vegetables', 'sugar']",2
342,"['dessert', 'white_bread']",2
343,"['citrus_fruit', 'tropical_fruit', 'pip_fruit', 'long_life_bakery_product']",4
344,"['turkey', 'whole_milk', 'uht-milk', 'fruit/vegetable_juice']",4
345,"['grapes', 'chocolate', 'light_bulbs']",3
346,"['bottled_water', 'pot_plants']",2
347,"['prosecco', 'hygiene_articles', 'pot_plants']",3
348,"['uht-milk', 'soda', 'dish_cleaner', 'napkins']",4
349,"['tropical_fruit', 'pasta', 'bottled_water']",3
350,"['yogurt', 'uht-milk', 'rolls/buns']",3
351,"['rolls/buns', 'coffee']",2
352,"['whole_milk', 'brown_bread']",2
353,"['brown_bread', 'chocolate']",2
354,"['other_vegetables', 'yogurt', 'cream_cheese']",3
355,"['citrus_fruit', 'cake_bar', 'baby_cosmetics', 'shopping_bags']",4
356,"['root_vegetables', 'whole_milk', 'yogurt', 'frozen_potato_products']",4
357,"['domestic_eggs', 'seasonal_products', 'shopping_bags']",3
358,"['domestic_eggs', 'specialty_bar', 'seasonal_products', 'shopping_bags']",4
359,"['bottled_water', 'soda']",2
360,"['tropical_fruit', 'sliced_cheese', 'domestic_eggs', 'zwieback']",4
361,"['frozen_potato_products', 'pot_plants']",2
362,"['frankfurter', 'other_vegetables', 'zwieback']",3
363,"['frozen_potato_products', 'bottled_water', 'soda']",3
364,"['tropical_fruit', 'dessert', 'sweet_spreads', 'fruit/vegetable_juice']",4
365,"['rolls/buns', 'brown_bread']",2
366,"['citrus_fruit', 'tropical_fruit', 'whole_milk', 'coffee']",4
367,"['yogurt', 'softener']",2
368,"['soda', 'softener']",2
369,"['oil', 'dental_care', 'newspapers']",3
370,"['whipped/sour_cream', 'beverages', 'fruit/vegetable_juice', 'chocolate']",4
371,"['whole_milk', 'frozen_vegetables', 'specialty_chocolate']",3
372,"['coffee', 'shopping_bags']",2
373,"['rolls/buns', 'waffles']",2
374,"['citrus_fruit', 'yogurt', 'brown_bread', 'pasta']",4
375,"['cream_cheese', 'rolls/buns']",2
376,"['chicken', 'whipped/sour_cream', 'coffee', 'shopping_bags']",4
377,"['grapes', 'root_vegetables']",2
378,"['root_vegetables', 'other_vegetables', 'yogurt']",3
379,"['oil', 'dish_cleaner', 'newspapers']",3
380,"['onions', 'vinegar', 'pet_care', 'specialty_bar']",4
381,"['dessert', 'dishes']",2
382,"['chewing_gum', 'napkins', 'dishes']",3
383,"['beverages', 'pastry', 'long_life_bakery_product', 'chocolate_marshmallow']",4
384,"['cat_food', 'soda']",2
385,"['whole_milk', 'beverages', 'pastry', 'soda']",4
386,"['soda', 'fruit/vegetable_juice']",2
387,"['beverages', 'bottled_water', 'misc._beverages']",3
388,"['whole_milk', 'yogurt', 'chocolate']",3
389,"['whole_milk', 'brown_bread']",2
390,"['citrus_fruit', 'frozen_potato_products']",2
391,"['ice_cream', 'salty_snack', 'waffles']",3
392,"['root_vegetables', 'fruit/vegetable_juice', 'long_life_bakery_product', 'pot_plants']",4
393,"['other_vegetables', 'chocolate']",2
394,"['whole_milk', 'white_bread', 'pastry']",3
395,"['zwieback', 'oil', 'mustard', 'chocolate']",4
396,"['butter', 'yogurt', 'dog_food']",3
397,"['chicken', 'tropical_fruit', 'candy', 'shopping_bags']",4
398,"['other_vegetables', 'cream_cheese', 'coffee', 'dishes']",4
399,"['chicken', 'whole_milk']",2
400,"['yogurt', 'chocolate']",2
401,"['frozen_meals', 'pet_care', 'soda']",3
402,"['canned_fruit', 'meat_spreads', 'bottled_water']",3
403,"['butter', 'waffles', 'chocolate']",3
404,"['meat', 'yogurt']",2
405,"['root_vegetables', 'butter', 'frozen_vegetables', 'salty_snack']",4
406,"['yogurt', 'sugar', 'instant_coffee']",3
407,"['yogurt', 'rolls/buns', 'pastry', 'soda']",4
408,"['dessert', 'misc._beverages']",2
409,"['curd', 'jam', 'shopping_bags']",3
410,"['herbs', 'pot_plants']",2
411,"['whole_milk', 'sugar', 'pudding_powder']",3
412,"['cream_cheese', 'dishes']",2
413,"['frozen_fruits', 'detergent']",2
414,"['whole_milk', 'soda']",2
415,"['whole_milk', 'yogurt']",2
416,"['chicken', 'whole_milk']",2
417,"['whole_milk', 'shopping_bags']",2
418,"['root_vegetables', 'coffee', 'detergent']",3
419,"['oil', 'female_sanitary_products', 'cling_film/bags']",3
420,"['uht-milk', 'coffee']",2
421,"['butter_milk', 'shopping_bags']",2
422,"['brown_bread', 'specialty_chocolate', 'shopping_bags']",3
423,"['beverages', 'soda', 'chocolate']",3
424,"['rolls/buns', 'bottled_water']",2
425,"['hard_cheese', 'rolls/buns', 'soda', 'shopping_bags']",4
426,"['tropical_fruit', 'frozen_vegetables']",2
427,"['whipped/sour_cream', 'salty_snack']",2
428,"['citrus_fruit', 'whole_milk', 'butter_milk', 'whipped/sour_cream']",4
429,"['soda', 'fruit/vegetable_juice']",2
430,"['tropical_fruit', 'whole_milk']",2
431,"['dessert', 'fruit/vegetable_juice', 'newspapers']",3
432,"['whole_milk', 'rolls/buns']",2
433,"['rolls/buns', 'soda']",2
434,"['fish', 'dessert', 'yogurt', 'cling_film/bags']",4
435,"['other_vegetables', 'oil', 'margarine', 'dishes']",4
436,"['tropical_fruit', 'other_vegetables', 'waffles', 'napkins']",4
437,"['citrus_fruit', 'coffee']",2
438,"['beef', 'other_vegetables', 'margarine', 'candles']",4
439,"['rolls/buns', 'soda', 'waffles', 'shopping_bags']",4
440,"['whole_milk', 'beverages', 'bottled_water', 'newspapers']",4
441,"['root_vegetables', 'brown_bread', 'pot_plants']",3
442,"['onions', 'shopping_bags']",2
443,"['napkins', 'dishes']",2
444,"['other_vegetables', 'rolls/buns']",2
445,"['frankfurter', 'whole_milk']",2
446,"['whipped/sour_cream', 'flower_(seeds)']",2
447,"['frozen_vegetables', 'brown_bread']",2
448,"['onions', 'yogurt', 'oil']",3
449,"['frankfurter', 'brown_bread', 'sugar']",3
450,"['rolls/buns', 'canned_fish', 'soda']",3
451,"['condensed_milk', 'coffee', 'napkins']",3
452,"['whole_milk', 'frozen_vegetables', 'fruit/vegetable_juice', 'long_life_bakery_product']",4
453,"['pip_fruit', 'yogurt', 'sliced_cheese']",3
454,"['pip_fruit', 'other_vegetables']",2
455,"['other_vegetables', 'whipped/sour_cream', 'condensed_milk', 'salt']",4
456,"['pastry', 'long_life_bakery_product', 'shopping_bags']",3
457,"['citrus_fruit', 'tropical_fruit', 'coffee']",3
458,"['tropical_fruit', 'bottled_water', 'chewing_gum']",3
459,"['herbs', 'oil', 'dog_food']",3
460,"['yogurt', 'chocolate']",2
461,"['frankfurter', 'frozen_meals', 'semi-finished_bread', 'shopping_bags']",4
462,"['yogurt', 'shopping_bags']",2
463,"['frozen_vegetables', 'coffee']",2
464,"['pastry', 'soda']",2
465,"['curd', 'bottled_water', 'photo/film']",3
466,"['yogurt', 'bottled_water', 'male_cosmetics']",3
467,"['coffee', 'chocolate']",2
468,"['sauces', 'softener']",2
469,"['napkins', 'dishes']",2
470,"['other_vegetables', 'rolls/buns', 'canned_fish']",3
471,"['chicken', 'citrus_fruit', 'onions', 'bottled_water']",4
472,"['whole_milk', 'rolls/buns']",2
473,"['rolls/buns', 'margarine']",2
474,"['tropical_fruit', 'soft_cheese', 'rolls/buns', 'chocolate']",4
475,"['tropical_fruit', 'pip_fruit', 'brown_bread']",3
476,"['meat', 'rolls/buns', 'specialty_chocolate']",3
477,"['whole_milk', 'coffee', 'female_sanitary_products', 'shopping_bags']",4
478,"['misc._beverages', 'chocolate']",2
479,"['pastry', 'long_life_bakery_product']",2
480,"['soda', 'fruit/vegetable_juice']",2
481,"['domestic_eggs', 'long_life_bakery_product', 'seasonal_products']",3
482,"['yogurt', 'uht-milk', 'domestic_eggs', 'rolls/buns']",4
483,"['citrus_fruit', 'other_vegetables', 'whole_milk']",3
484,"['whole_milk', 'rolls/buns']",2
485,"['tropical_fruit', 'newspapers']",2
486,"['rolls/buns', 'margarine', 'newspapers']",3
487,"['whole_milk', 'dessert']",2
488,"['yogurt', 'rolls/buns']",2
489,"['frankfurter', 'pip_fruit', 'other_vegetables', 'whole_milk']",4
490,"['whole_milk', 'rolls/buns']",2
491,"['whole_milk', 'frozen_vegetables']",2
492,"['whole_milk', 'yogurt', 'white_bread', 'newspapers']",4
493,"['domestic_eggs', 'rolls/buns', 'soda']",3
494,"['soda', 'waffles']",2
495,"['butter_milk', 'coffee']",2
496,"['cream_cheese', 'soda']",2
497,"['frankfurter', 'pip_fruit', 'rolls/buns', 'bottled_water']",4
498,"['nuts/prunes', 'rolls/buns', 'soda']",3
499,"['rolls/buns', 'soda']",2
500,"['chocolate', 'candy']",2
501,"['beef', 'herbs', 'whole_milk']",3
502,"['frankfurter', 'rolls/buns', 'fruit/vegetable_juice']",3
503,"['pip_fruit', 'whole_milk', 'whipped/sour_cream', 'baking_powder']",4
504,"['butter', 'cleaner']",2
505,"['fruit/vegetable_juice', 'nut_snack']",2
506,"['meat', 'specialty_bar']",2
507,"['pip_fruit', 'butter', 'curd', 'chocolate']",4
508,"['other_vegetables', 'domestic_eggs']",2
509,"['whole_milk', 'white_bread', 'salty_snack']",3
510,"['dessert', 'frozen_dessert']",2
511,"['soda', 'long_life_bakery_product']",2
512,"['beef', 'other_vegetables', 'domestic_eggs', 'pastry']",4
513,"['spread_cheese', 'pastry']",2
514,"['citrus_fruit', 'tropical_fruit', 'other_vegetables', 'pot_plants']",4
515,"['rolls/buns', 'soda']",2
